rung,system,runs,runs_collapsed,alive_at_end,alive_worst,runs_whole,alive_complete_runs,unemployed,tickets,bread_price,public_debt,public_debt_pct_gdp,shortfall_per_month,public_debt_peak,public_debt_peak_month,runs_debt_repaid,public_debt_repaid_month,gini_cash,gini_wealth,wealth_gap_meals,wealth_bottom10_meals,cash_gap_meals,cash_bottom10_meals,under_water,without_cash,land_held_by_households,gini_wealth_firms_attributed,liquidations,refoundings,bank_bailouts,worst_identity_gap
"E10 + government reserve, full money stock",sumsy,10,0,479.3,464,7,479.3,169.2,203.075,16.480276973458764,18130.63732,7.550843867316109,448.6864125000003,18130.63732,120.0,0,,0.5771465802205912,0.7553923400769978,632.1260766656185,-2.9941803313475552,21.254041536726174,0.11510397561965305,145.5,10.2,0.89921875,0.7553923400769978,0.0,0.0,0.0,2.3283064365386963e-10
"E2 + government, full money stock",sumsy,10,0,512.0,512,10,512.0,192.2,0.0,4.012689065475628,0.0,0.0,-548.5185975000002,561.0,1.0,10,21.9,0.343895242053418,0.7442047583650215,3716.561417399525,9.27231048749617,47.88669874338808,8.528721917425761,0.0,0.0,0.980859375,0.7245012662214695,0.0,0.0,0.0,3.2014213502407074e-10
"E8 + shareholders & share market, full money stock",sumsy,10,0,475.6,462,3,475.6,167.4,206.875,16.301812944461254,13993.085319999998,5.914404062975083,422.11282250000033,13993.085319999998,120.0,0,,0.5836368538536256,0.7539408477235439,630.973448638514,-2.848863045866847,21.93515670401178,0.11902705744615585,144.6,12.3,0.8980468749999998,0.7539408477235439,0.0,0.0,0.0,1.4551915228366852e-10
"EB best SuMSy village, full money stock",sumsy,10,0,488.1,475,9,488.1,174.0,199.68333333333334,17.33312942703603,26141.704180000004,10.273319671660655,558.9902849999999,26141.704180000004,120.0,0,,0.5401894518544905,0.7191389811857473,503.80838862843655,3.491814231525313,17.517562322098637,0.1533280489806778,0.1,0.0,0.902734375,0.7191389811857473,0.0,0.0,0.0,3.4924596548080444e-10
"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,10,0,482.7,471,7,482.7,170.0,214.975,15.94721169228735,10901.67898,4.634160974058245,398.46049333333326,10901.67898,120.0,0,,0.6010580185198657,0.7567482160598946,634.25587514542,-3.147580230719034,23.618117618397253,0.09506757587780369,164.2,13.6,0.9018229166666666,0.7567482160598946,0.0,0.0,0.0,2.3283064365386963e-10
"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,10,0,486.9,481,10,486.9,176.6,139.425,13.815573768259487,28807.398800000003,14.29185892586329,600.7991291666667,28807.398800000003,120.0,0,,0.43072677384949065,0.7552127343640389,590.6615672685487,-2.8322579166583908,10.479652556118685,0.16784115551984788,126.6,9.4,0.8947916666666667,0.7552127343640389,0.0,0.0,0.0,1.1641532182693481e-10
"F8-4 step 8, full money stock, fee 4 %, matching prices",sumsy,10,0,489.5,483,10,489.5,180.4,97.88333333333334,11.559166458839435,34151.18832,20.220638080132893,586.2420175,34151.18832,120.0,0,,0.37934768809814096,0.7523837198621507,623.8016284600768,-3.0050636704464155,7.32523674643259,0.19000746916436065,121.4,9.3,0.8932291666666667,0.7523837198621507,0.0,0.0,0.0,5.820766091346741e-11
"FF8-3 step 8, filling up, fee 3 %",sumsy,10,0,498.3,494,10,498.3,176.3,210.79166666666669,11.272409553596669,23795.539799999995,13.892612829097606,363.02151916666674,23795.539799999995,120.0,0,,0.5927805963048746,0.7880885632498662,832.5609829028457,-3.5304072807333795,21.088645187126655,0.09530445369706833,203.2,16.2,0.9134114583333333,0.7880885632498662,0.0,0.0,0.0,2.1827872842550278e-10
"FF8-4 step 8, filling up, fee 4 %",sumsy,10,0,499.0,493,10,499.0,177.7,174.525,10.190585755474237,32922.504839999994,21.005777150458044,454.6905375,32922.504839999994,120.0,0,,0.5109899228379225,0.7922938788458659,765.8069630886254,-3.5942301697018144,13.766607428039325,0.10558530904485978,194.6,16.9,0.9091145833333334,0.7922938788458659,0.0,0.0,0.0,1.0186340659856796e-10
"G10-20 step 10, public employment 20 %",debt,10,0,510.5,509,10,510.5,124.8,150.76666666666668,8.638122798738934,251068.7430399999,192.10772449564996,1981.7147147804203,251068.7430399999,120.0,0,,0.45530863716327197,0.7656645625971246,680.0920908492573,-0.5588486735581182,11.52654715193503,0.7656121120369385,41.5,0.0,0.9311197916666666,0.7656645625971246,0.0,0.0,0.0,7.275957614183426e-11
"G10-20 step 10, public employment 20 %",sumsy,10,0,510.5,507,10,510.5,119.5,265.25,12.460764452015331,118292.00003,52.96790778809119,1578.8145150000003,118292.00003,120.0,0,,0.5525948628423174,0.7770286870121492,1085.6718852740162,-2.7058928963891957,26.313782211025824,0.3996779430030991,110.7,6.6,0.9244791666666666,0.7770286870121492,0.0,0.0,0.0,2.3283064365386963e-10
"G10-30 step 10, public employment 30 %",debt,10,0,511.3,510,10,511.3,73.6,150.99166666666667,8.448508714308318,255387.06625,196.80961576971706,1994.0195901488885,255387.06625,120.0,0,,0.42956172284060984,0.7545439958513953,678.4349372281171,0.80572315873767,11.66041034174525,0.9907294800285585,8.0,0.0,0.9334635416666666,0.7545439958513953,0.0,0.0,0.0,1.6007106751203537e-10
"G10-30 step 10, public employment 30 %",sumsy,10,0,511.7,511,10,511.7,67.2,235.29166666666666,13.37440981604875,264241.51256000006,102.33566647715088,3323.7259916666662,264241.51256000006,120.0,0,,0.4048687007551198,0.7595660877098472,1190.3373140299254,-0.1169278884077302,16.769263045495997,1.283089202773518,26.2,1.7,0.9309895833333334,0.7595660877098472,0.0,0.0,0.0,1.7462298274040222e-10
